name_muni_uf_from,name_muni_uf_to,sg_iata_origem,sg_iata_destino,date,year,month,day,total_pass,dist_pair,n_flights,lon_from,lat_from,lon_to,lat_to
sao paulo-sp,recife-pe,CGH,REC,2020-03-06,2020,3,6,759,2120.80240335024,5,-46.5703831821127,-23.5673865,-34.8889419445777,-8.06276248305241
juazeiro do norte-ce,guarulhos-sp,JDO,GRU,2020-03-05,2020,3,5,257,1957.46929839078,2,-39.3169933556143,-7.210766,-46.5310840856611,-23.468506
guarulhos-sp,juazeiro do norte-ce,GRU,JDO,2020-03-06,2020,3,6,297,1957.46929839078,2,-46.5310840856611,-23.468506,-39.3169933556143,-7.210766
curitiba-pr,foz do iguacu-pr,CWB,IGU,2020-03-06,2020,3,6,285,534.540001007988,4,-49.2718478850774,-25.432956,-54.5871024886046,-25.5424932795293
belem-pa,santarem-pa,BEL,STM,2020-03-05,2020,3,5,327,701.5533575521,4,-48.4878256874876,-1.459845,-54.7185701672711,-2.43621332999996
recife-pe,fernando de noronha-pe,REC,FEN,2020-03-05,2020,3,5,493,539.083116230771,5,-34.8889419445777,-8.06276248305241,-32.4351863280529,-3.85202140078181
recife-pe,rio de janeiro-rj,REC,GIG,2020-03-05,2020,3,5,972,1866.13643566427,8,-34.8889419445777,-8.06276248305241,-43.2278751249952,-22.8766521181865
manaus-am,porto velho-ro,MAO,PVH,2020-03-05,2020,3,5,320,752.23294540842,4,-60.023335181061,-3.13469149120195,-63.8314456543611,-8.76889179
rio de janeiro-rj,confins-mg,GIG,CNF,2020-03-05,2020,3,5,263,368.199406189062,3,-43.2278751249952,-22.8766521181865,-43.9955960875638,-19.6299482494053
rio de janeiro-rj,campinas-sp,GIG,VCP,2020-03-05,2020,3,5,375,393.210656059303,6,-43.2278751249952,-22.8766521181865,-47.0601562729731,-22.9073425
campinas-sp,rio de janeiro-rj,VCP,GIG,2020-03-05,2020,3,5,584,393.210656059303,7,-47.0601562729731,-22.9073425,-43.2278751249952,-22.8766521181865
salvador-ba,rio de janeiro-rj,SSA,GIG,2020-03-05,2020,3,5,669,1201.14149264141,5,-38.4880614840078,-13.0147719115328,-43.2278751249952,-22.8766521181865
rio de janeiro-rj,recife-pe,GIG,REC,2020-03-06,2020,3,6,1034,1866.13643566427,8,-43.2278751249952,-22.8766521181865,-34.8889419445777,-8.06276248305241
rio de janeiro-rj,porto alegre-rs,GIG,POA,2020-03-05,2020,3,5,588,1123.91741429693,4,-43.2278751249952,-22.8766521181865,-51.2286604637023,-30.0300367747664
